Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,RPT-11,146.7,-,0.6,TSQL,131.8,131.8,23,NN,FM,5,,SJCARS Repeater Cady Mt.,N7JN,,
2,REV-11,146.1,+,0.6,Tone,131.8,131.8,23,NN,FM,5,,SJCARS Reverse,,,
3,DIR-11,146.7,,0,TSQL,131.8,131.8,23,NN,FM,5,,SJCARS Direct (simplex),,,
4,CALL11,146.7,,0,TSQL,141.3,141.3,23,NN,FM,5,,SJCARS Callup,N7JN,,
5,RPT-12,145.25,-,1,TSQL,131.8,131.8,23,NN,FM,5,,SJCARS D-Star Repeater (HVT),N7JN,,
6,REV-12,144.65,+,1,Tone,131.8,131.8,23,NN,FM,5,,SJCARS D-Star Reverse,,,
7,DIR-12,145.25,,,TSQL,131.8,131.8,23,NN,FM,5,,SJCARS D-Star simplex,,,
10,TAC-10,146.52,,0.6,Tone,131.8,131.8,23,NN,FM,5,,National Simplex,,,
11,TAC-11,144.31,,0.6,Tone,131.8,131.8,23,NN,FM,5,,,,,
12,TAC-12,146.5,,0.6,Tone,131.8,131.8,23,NN,FM,5,,NBFM repeater ch-8 output,,,
13,TAC-13,146.54,,0.6,Tone,131.8,131.8,23,NN,FM,5,,"Watcom, King, Island, Blaine",,,
14,TAC-14,145.53,,0.6,Tone,131.8,131.8,23,NN,FM,5,,,,,
15,TAC-15,146.42,,0.6,Tone,131.8,131.8,23,NN,FM,5,,NBFM repeater ch-2 output,,,
16,TAC-16,147.5,,0.6,Tone,131.8,131.8,23,NN,FM,5,,Stanwood-Camano Is. ****,,,
17,TAC-17,147.4,,0.6,Tone,131.8,131.8,23,NN,FM,5,,NBFM repeater ch-1 input,,,
18,TAC-18,146.46,,0.6,Tone,103.5,103.5,23,NN,FM,5,,Statewide Primary **,,,
19,TAC-19,146.48,,0.6,Tone,103.5,103.5,23,NN,FM,5,,Statewide Alternate ***,,,
26,APRS10,144.39,,0,,88.5,88.5,23,NN,FM,5,,1200 baud APRS,,,
27,APRS11,144.35,,0,,88.5,88.5,23,NN,FM,5,,9600 baud APRS,,,
30,NET-11,144.99,,0,,88.5,88.5,23,NN,FM,5,,,,,
31,NET-12,144.95,,0,,88.5,88.5,23,NN,FM,5,,,,,
32,NET-13,145.63,,0,,88.5,88.5,23,NN,FM,5,,,,,
33,NET-14,145.69,,0,,88.5,88.5,23,NN,FM,5,,RMS Pkt N7NIX-10,,,
34,NET-15,144.97,,0,,88.5,88.5,23,NN,FM,5,,,,,
35,NET-16,144.91,,0,,88.5,88.5,23,NN,FM,5,,,,,
36,NET-17,144.93,,0,,88.5,88.5,23,NN,FM,5,,,,,
37,NET-18,145.09,,0,,88.5,88.5,23,NN,FM,5,,,,,
50,PT-ANG,145.13,-,0.6,Tone,100,100,23,NN,FM,5,,Port Angeles,WF7W,,
51,LYMAN1,145.19,-,0.6,Tone,127.3,127.3,23,NN,FM,5,,Lyman Hill,N7GDE,,
52,SUMAS,145.23,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,Sumas Mt.,W7BPD,,
53,GOLD11,146.62,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,Gold Mt. Unusable (Cdn 146.61/110.9),WW7RA,,
54,CONY11,146.74,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,Mt. Constitution,K7SKW,,
